"URL","Impressions","Clicks","Last crawled","Discovered on","HTTP code","Document size","Backlinks"
"https://greggcostin.com","3","1","2026-08-29","2025-08-15","200","47229","73"
"https://greggcostin.com/resources","0","0","2026-09-08","2026-09-09","200","62576","0"
