Query,Impressions28,Clicks28,Position28,Impressions90,Clicks90,Position90
"pensacola christian academy","10","0","8","10","0","8"
"pencicola christian school","3","0","6","3","0","6"
"gregg costin","2","1","2","2","1","2"
"gregg costin joanna bradford helena ciappina justin johnson realtor email address","1","1","2","1","1","2"
"gregg costin joanna bradford helena ciappina justin johnson realtor contact info","1","0","3","1","0","3"
"greg costin agent fl","1","0","2","1","0","2"
